aweme_id,title,desc,create_time,user_id,nickname,liked_count,collected_count,comment_count,share_count,ip_location
7627894054088461611,"盘点一周AI大事(4月12日)｜Mythos太强不敢发布 Anthropic官宣最强大模型Claude Mythos
OpenAI发布超级智能经济蓝图
Meta发布大模型 Muse Spark
智谱上线最强开源大模型GLM-5.1
Anthropic上线Agent包工头Claude Managed Agents
Gemini上线概念可视化visualizations
阿里发布最强视频模型HappyHorse-1.0
米哈游发布最强数字人模型LPM 1.0
Ace开源最强音乐模型ACE-Step-1.5-xl
研究员开源最强虚拟试穿模型Vanast 
#前沿科技趋势发布月 #AI新星计划 #AIGC #大模型 #Agent","盘点一周AI大事(4月12日)｜Mythos太强不敢发布 Anthropic官宣最强大模型Claude Mythos
OpenAI发布超级智能经济蓝图
Meta发布大模型 Muse Spark
智谱上线最强开源大模型GLM-5.1
Anthropic上线Agent包工头Claude Managed Agents
Gemini上线概念可视化visualizations
阿里发布最强视频模型HappyHorse-1.0
米哈游发布最强数字人模型LPM 1.0
Ace开源最强音乐模型ACE-Step-1.5-xl
研究员开源最强虚拟试穿模型Vanast 
#前沿科技趋势发布月 #AI新星计划 #AIGC #大模型 #Agent",2026-04-12,3189018560040733,产品君,11820,3767,416,4121,
7616351223721086208,AI时代，个体该如何自处 #原点TheOrigin #钦文和他的朋友们 #凯文凯利#AI时代 #视频播客扶持计划,AI时代，个体该如何自处 #原点TheOrigin #钦文和他的朋友们 #凯文凯利#AI时代 #视频播客扶持计划,2026-03-12,1429841682641751,钦文和他的朋友们,209462,93056,3236,35973,
7427381362337778980,"90分钟深度！一口气看明白人工智能和神经网络 视频使用素材来自：
3blue1brown
Artem Kirsanov 
使用manim引擎制作#人工智能 #2024诺贝尔奖 #知识前沿派对 #科学高光故事集 #一口气看完系列 #抖音精选公开课","90分钟深度！一口气看明白人工智能和神经网络 视频使用素材来自：
3blue1brown
Artem Kirsanov 
使用manim引擎制作#人工智能 #2024诺贝尔奖 #知识前沿派对 #科学高光故事集 #一口气看完系列 #抖音精选公开课",2024-10-19,160941723098760,漫士沉思录,241971,214994,3406,47401,
7611845735025364265,"未来5年AI时代 只剩一种人能赚钱 艾财说190 现在所有人都在拼命学AI。学提示词、学编程、学AI剪视频。但我今天要告诉你一件可能颠覆你认知的事——AI时代生存和赚钱最重要的能力，跟技术一点关系都没有。那什么能力最值钱呢？一个叫Dan Koe的美国博主，400多万粉丝，一年赚400多万美元。他在X上发了篇文章，700多万人看了，标题就叫""未来十年最重要的技能""。答案不是编程，不是提示词工程，就一个词——Agency。翻成中文，叫""能动性""。我第一反应跟你一样——这不就是鸡汤换了个高级说法吗？但我这人有个毛病，不服气就去查。结果一查不得了——麦肯锡、世界经济论坛、哈佛商学院，全球最顶级的研究机构，全部指向同一个结论。而且更吓人的是，脑科学已经证明了，你大脑的出厂设置就是被动的。所以，这不是鸡汤，这是实打实的神经科学。今天我来带你深入拆解他这篇文章。看完你会搞明白三件事：第一，被动为什么不是你的问题；第二，AI越强，有能动性的人为什么反而越值钱——而这也是你在AI时代生存和赚钱所必须抓住的唯一救命稻草；第三，Dan Koe提出了一个我们都能马上就用的训练方法，让自己变得更有能动性，在AI时代活下去。
#AI时代  #被动收入  #财富自由","未来5年AI时代 只剩一种人能赚钱 艾财说190 现在所有人都在拼命学AI。学提示词、学编程、学AI剪视频。但我今天要告诉你一件可能颠覆你认知的事——AI时代生存和赚钱最重要的能力，跟技术一点关系都没有。那什么能力最值钱呢？一个叫Dan Koe的美国博主，400多万粉丝，一年赚400多万美元。他在X上发了篇文章，700多万人看了，标题就叫""未来十年最重要的技能""。答案不是编程，不是提示词工程，就一个词——Agency。翻成中文，叫""能动性""。我第一反应跟你一样——这不就是鸡汤换了个高级说法吗？但我这人有个毛病，不服气就去查。结果一查不得了——麦肯锡、世界经济论坛、哈佛商学院，全球最顶级的研究机构，全部指向同一个结论。而且更吓人的是，脑科学已经证明了，你大脑的出厂设置就是被动的。所以，这不是鸡汤，这是实打实的神经科学。今天我来带你深入拆解他这篇文章。看完你会搞明白三件事：第一，被动为什么不是你的问题；第二，AI越强，有能动性的人为什么反而越值钱——而这也是你在AI时代生存和赚钱所必须抓住的唯一救命稻草；第三，Dan Koe提出了一个我们都能马上就用的训练方法，让自己变得更有能动性，在AI时代活下去。
#AI时代  #被动收入  #财富自由",2026-02-28,2740424755911870,艾財说imoneytalk,274178,166329,3745,50006,
7618911715337587978,“养虾”之前，聪明人都在怎么用AI？ #最近迷上了新东西 有人在焦虑被AI抢工作，有人已经用AI找到了好工作…这期视频认真聊了聊，身边的大聪明们，都是怎么用AI提升自己工作和生活得效率（也许你不需要openclaw这样有安全隐患的工具，用好其他的AI工具，已经很足够） #agent #AI #经验分享 #coding,“养虾”之前，聪明人都在怎么用AI？ #最近迷上了新东西 有人在焦虑被AI抢工作，有人已经用AI找到了好工作…这期视频认真聊了聊，身边的大聪明们，都是怎么用AI提升自己工作和生活得效率（也许你不需要openclaw这样有安全隐患的工具，用好其他的AI工具，已经很足够） #agent #AI #经验分享 #coding,2026-03-19,3227765535936862,弗洛哈哈flhh,2315,1601,55,433,
7624831839538089216,2026 年最好用的十大AI工具！免费且强大！ #ai #ai工具 #ai神器 #2026 #商业财经,2026 年最好用的十大AI工具！免费且强大！ #ai #ai工具 #ai神器 #2026 #商业财经,2026-04-04,4468856681136675,小邓 Talk,51088,54284,2283,11177,
7562396537754537243,爆肝半个月，原创ai短剧《天穹》第一集 乱世之中，又会有怎样的英雄故事？#AIGC #AI #短剧 #原创 #原创动画,爆肝半个月，原创ai短剧《天穹》第一集 乱世之中，又会有怎样的英雄故事？#AIGC #AI #短剧 #原创 #原创动画,2025-10-18,3178006039503463,还看今朝AI,536234,65908,16809,153235,
7620376117073005830,"当AI开始替你办事：硅谷没看懂，中国先做出来了！ #视频播客扶持计划  #ai新星计划  #AI硬骨头在抖音啃上了  #抖音知识年终大赏  
#春节里的视频播客","当AI开始替你办事：硅谷没看懂，中国先做出来了！ #视频播客扶持计划  #ai新星计划  #AI硬骨头在抖音啃上了  #抖音知识年终大赏  
#春节里的视频播客",2026-03-23,108968572521,人民公园说AI,4272,983,104,215,
7529875643342884154,你应该利用AI做的9件事 #人工智能 #干货分享 #ai #智能玩家联盟,你应该利用AI做的9件事 #人工智能 #干货分享 #ai #智能玩家联盟,2025-07-22,2955957561736269,第四种黑猩猩,34778,33788,523,8532,
7619268893584018739,学AI，推荐你看这8个宝藏博主！ #抖音精选实现内容消费升级 #抖音精选 #AI新星计划,学AI，推荐你看这8个宝藏博主！ #抖音精选实现内容消费升级 #抖音精选 #AI新星计划,2026-03-20,1852055338092222,数字游牧人Samuel,40518,28774,551,4539,
7613322907103661358,从小白到科普博主，我总结了一套AI自学指南 #AI新星计划 #自学AI #人工智能 #动画视频 #PPT动画,从小白到科普博主，我总结了一套AI自学指南 #AI新星计划 #自学AI #人工智能 #动画视频 #PPT动画,2026-03-04,2626110982724644,K森动画,91352,64801,514,8711,
7622282127169588532,耗时180天制作！这才是你该知道的AI常识！#ai #人工智能 #ai视频 #ai生成 #ai新星计划,耗时180天制作！这才是你该知道的AI常识！#ai #人工智能 #ai视频 #ai生成 #ai新星计划,2026-03-28,1259375910467531,帧数燃烧,456883,116409,4157,67460,
7602558393986944265,"全球前五人工智能 哪一个是你心目中的最强AI？
#Gemini  #GPT #Claude #grok #豆包","全球前五人工智能 哪一个是你心目中的最强AI？
#Gemini  #GPT #Claude #grok #豆包",2026-02-03,2156588149254987,Apex Global,292825,142840,7678,41003,
7589669346620820771,年度好用AI大分享！【小白必备】 #ai新星计划#抖音年终知识大赏#AI工具推荐#秋芝2046#前沿科技趋势发布月,年度好用AI大分享！【小白必备】 #ai新星计划#抖音年终知识大赏#AI工具推荐#秋芝2046#前沿科技趋势发布月,2025-12-30,2931726622135948,秋芝2046,103618,98125,1767,18572,
7617124416941608230,一期视频带你打通 AI 底层逻辑！ ,一期视频带你打通 AI 底层逻辑！ ,2026-03-14,89984243780,马克的技术工作坊,194481,129573,2568,36970,
7626326665546714414,正在学AI的大学生，比我们还焦虑 #AI焦虑 #大学生 #互联网  #AI新星计划 #青年创作者成长计划,正在学AI的大学生，比我们还焦虑 #AI焦虑 #大学生 #互联网  #AI新星计划 #青年创作者成长计划,2026-04-08,1370457878308675,差评前沿部,24177,6813,1127,4932,
